Jugadores,Min,Puntos,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,REB,AST,FP,TOV,ROB,TAP
"Perez, L.",22:22,5,6,1,2,1,4,0,4,3,0,2,2,3,1,4,1,0
"Della, C.",23:28,3,3,0,3,0,0,0,6,3,4,4,8,0,2,1,0,0
"Maccio, G.",3:46,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
"Peralta, J.",6:25,2,4,1,4,1,0,0,0,0,0,2,2,0,0,2,0,0
"Boggetti, L.",26:25,13,13,5,7,4,6,1,2,2,1,7,8,2,0,2,2,0
"Campos, L.",29:24,20,16,8,12,5,4,3,2,1,1,5,6,1,4,4,6,0
"Rojas, M",28:04,3,4,1,0,0,4,1,2,0,0,3,3,3,3,2,1,0
"Basualdo, M.",9:58,6,5,2,1,1,4,1,2,1,1,2,3,0,1,0,0,0
"Iturre, R.",19:53,11,13,4,10,2,3,2,1,1,3,3,6,0,4,1,0,0
"Tarchini, O.",12:32,0,2,0,1,0,1,0,0,0,2,1,3,0,1,0,0,0
"Leguizamon, A.",17:43,0,2,0,0,0,2,0,0,0,0,0,0,1,1,2,1,0
